Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D7.5mm_P2.50mm",286.0000,12.6614,-90.0000,top
"C2","100uF","CP_Radial_D7.5mm_P2.50mm",295.7500,12.6614,-90.0000,top
"C3","1uF","C_1206_3216Metric",80.0000,46.0250,90.0000,top
"C4","1uF","C_1206_3216Metric",93.5000,47.5000,90.0000,top
"C5","1uF","C_1206_3216Metric",82.5000,42.2500,0.0000,top
"C6","1uF","C_1206_3216Metric",87.2750,42.2500,0.0000,top
"C7","1uF","C_1206_3216Metric",80.0000,51.0250,-90.0000,top
"C34","100n","C_0603_1608Metric",117.0000,54.0000,0.0000,bottom
"C35","100n","C_0603_1608Metric",125.5000,54.0000,0.0000,bottom
"C36","100n","C_0603_1608Metric",178.5000,56.7700,0.0000,bottom
"C37","100n","C_0603_1608Metric",170.5000,56.7700,0.0000,bottom
"IC1","MAX232EIDR","SOIC127P600X175-16N",86.8250,47.5380,90.0000,top
"J1","Power","PinHeader_1x08_P2.54mm_Vertical",273.6850,38.0650,-90.0000,top
"J2","Analog","PinHeader_1x08_P2.54mm_Vertical",250.8250,38.0650,-90.0000,top
"J3","Analog","PinHeader_1x08_P2.54mm_Vertical",227.9650,38.0650,-90.0000,top
"J4","Digital","PinHeader_2x18_P2.54mm_Vertical",207.6450,43.1450,180.0000,top
"J5","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",246.0000,145.0000,180.0000,top
"J6","PWM","PinHeader_1x10_P2.54mm_Vertical",282.8290,86.3250,-90.0000,top
"J7","PWM","PinHeader_1x08_P2.54mm_Vertical",255.9050,86.3250,-90.0000,top
"J8","Communication","PinHeader_1x08_P2.54mm_Vertical",233.0450,86.3250,-90.0000,top
"J9","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",228.1500,94.8000,-90.0000,top
"J10","Conn_01x26","DSUB-26-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm",189.3750,13.5400,0.0000,top
"J11","L17HTHES4R1C","L17HTHES4R1C",84.0075,14.0000,0.0000,top
"J12","DA15_Socket_MountingHoles","AMPHENOL_10090926-P154XLF",308.5000,112.5000,90.0000,top
"J13","FCR7350R","FCR7350R",44.3700,13.4900,90.0000,top
"J14","FCR7350B","FCR7350B",24.3700,13.4900,90.0000,top
"J15","DE09-SL-24","DE09SL24",135.9450,11.4900,0.0000,top
"J16","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",221.0000,145.0000,180.0000,top
"J17","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",196.0000,145.0000,180.0000,top
"J18","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",171.0000,145.0000,180.0000,top
"J19","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",146.0000,145.0000,180.0000,top
"J20","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",121.0000,145.0000,180.0000,top
"J21","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",96.0000,145.0000,180.0000,top
"J22","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",71.0000,145.0000,180.0000,top
"J23","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",46.0000,145.0000,180.0000,top
"J24","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",21.0000,145.0000,180.0000,top
"J25","KLDX-0202-A-LT","KLDX0202ALT",299.0000,135.0000,-90.0000,top
"JP2","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",293.0000,20.7500,90.0000,top
"K1","OJE-SH-105LMH,000","OJESH105LMH000",15.0000,117.3000,90.0000,top
"K2","OJE-SH-105LMH,000","OJESH105LMH000",40.0000,117.3000,90.0000,top
"K3","OJE-SH-105LMH,000","OJESH105LMH000",65.0000,117.3000,90.0000,top
"K4","OJE-SH-105LMH,000","OJESH105LMH000",90.0000,117.3000,90.0000,top
"K5","OJE-SH-105LMH,000","OJESH105LMH000",115.0000,117.3000,90.0000,top
"K6","OJE-SH-105LMH,000","OJESH105LMH000",215.0375,117.3000,90.0000,top
"K7","OJE-SH-105LMH,000","OJESH105LMH000",140.0000,117.3000,90.0000,top
"K8","OJE-SH-105LMH,000","OJESH105LMH000",240.0000,117.3000,90.0000,top
"K9","OJE-SH-105LMH,000","OJESH105LMH000",165.0000,117.3000,90.0000,top
"K10","OJE-SH-105LMH,000","OJESH105LMH000",189.6000,117.3000,90.0000,top
"K11","VOR1003M4T","VOR1003M4T",182.0000,50.0000,-90.0000,top
"K12","VOR1003M4T","VOR1003M4T",175.5000,50.0000,-90.0000,top
"K13","VOR1003M4T","VOR1003M4T",169.0000,50.0000,-90.0000,top
"K14","VOR1003M4T","VOR1003M4T",162.5000,50.0000,-90.0000,top
"K15","VOR1003M4T","VOR1003M4T",156.0000,50.0000,-90.0000,top
"K16","VOR1003M4T","VOR1003M4T",149.5000,50.0000,-90.0000,top
"K17","VOR1003M4T","VOR1003M4T",143.0000,50.0000,-90.0000,top
"K18","VOR1003M4T","VOR1003M4T",136.5000,50.0000,-90.0000,top
"K19","VOR1003M4T","VOR1003M4T",123.5000,50.0000,-90.0000,top
"K20","VOR1003M4T","VOR1003M4T",130.0000,50.0000,-90.0000,top
"Q3","IRLZ44N","TO-220-3_Horizontal_TabDown",24.4100,26.2100,90.0000,top
"Q4","IRLML2060","SOT-23",137.9050,18.0000,0.0000,top
"Q9","IRLML2060","SOT-23",77.0875,121.3000,90.0000,top
"Q10","IRLML2060","SOT-23",102.0000,121.3625,90.0000,top
"Q11","IRLML2060","SOT-23",52.1625,121.3000,90.0000,top
"Q12","IRLML2060","SOT-23",27.0000,121.3000,90.0000,top
"Q13","IRLML2060","SOT-23",131.0550,18.0000,0.0000,top
"Q14","IRLML2060","SOT-23",176.9500,121.2375,90.0000,top
"Q15","IRLML2060","SOT-23",201.5875,121.3000,90.0000,top
"Q16","IRLML2060","SOT-23",126.9500,121.2375,90.0000,top
"Q17","IRLML2060","SOT-23",152.0000,121.3000,90.0000,top
"Q22","IRLML2060","SOT-23",124.1550,18.0000,0.0000,top
"Q23","IRLML2060","SOT-23",252.2000,121.2375,90.0000,top
"Q24","IRLML2060","SOT-23",227.2500,121.3625,90.0000,top
"Q27","DMP6185SEQ-13","SOT230P700X180-4N",118.0000,40.2500,-90.0000,bottom
"Q28","IRLML2060","SOT-23",117.0000,51.0000,-90.0000,bottom
"Q29","IRLML2060","SOT-23",125.2500,51.0000,-90.0000,bottom
"Q30","DMP6185SEQ-13","SOT230P700X180-4N",126.0000,40.2500,-90.0000,bottom
"Q31","IRLML2060","SOT-23",178.5000,53.7700,-90.0000,bottom
"Q32","DMP6185SEQ-13","SOT230P700X180-4N",179.5000,43.0200,-90.0000,bottom
"Q33","IRLML2060","SOT-23",170.5000,53.7700,-90.0000,bottom
"Q34","DMP6185SEQ-13","SOT230P700X180-4N",171.2500,43.0200,-90.0000,bottom
"R1","100R","R_0805_2012Metric",102.0000,115.8625,180.0000,top
"R2","100R","R_0805_2012Metric",77.0875,115.8000,180.0000,top
"R3","100R","R_0805_2012Metric",52.1625,115.8000,180.0000,top
"R4","100R","R_0805_2012Metric",27.0000,115.8000,180.0000,top
"R5","100R","R_0805_2012Metric",252.2000,115.7375,180.0000,top
"R6","100R","R_0805_2012Metric",227.2500,115.8625,180.0000,top
"R7","100R","R_0805_2012Metric",201.5875,115.8000,180.0000,top
"R8","100R","R_0805_2012Metric",176.9500,115.7375,180.0000,top
"R9","100R","R_0805_2012Metric",152.0000,115.8000,180.0000,top
"R10","100R","R_0805_2012Metric",126.9500,115.7375,180.0000,top
"R11","100K","R_0805_2012Metric",218.2500,26.0000,-90.0000,top
"R12","22K","R_0805_2012Metric",220.2500,26.0000,-90.0000,top
"R13","100K","R_0805_2012Metric",222.5000,26.0000,-90.0000,top
"R14","22K","R_0805_2012Metric",224.5000,26.0000,-90.0000,top
"R15","100K","R_0805_2012Metric",226.7500,26.0000,-90.0000,top
"R16","22K","R_0805_2012Metric",228.7500,26.0000,-90.0000,top
"R17","100K","R_0805_2012Metric",233.0000,26.0000,-90.0000,top
"R18","22K","R_0805_2012Metric",231.0000,26.0000,-90.0000,top
"R19","100K","R_0805_2012Metric",235.2500,26.0000,-90.0000,top
"R20","22K","R_0805_2012Metric",237.2500,26.0000,-90.0000,top
"R21","100K","R_0805_2012Metric",241.5000,26.0000,-90.0000,top
"R22","22K","R_0805_2012Metric",239.5000,26.0000,-90.0000,top
"R23","100K","R_0805_2012Metric",243.7500,26.0000,-90.0000,top
"R24","22K","R_0805_2012Metric",245.7500,26.0000,-90.0000,top
"R25","100K","R_0805_2012Metric",250.0000,26.0000,-90.0000,top
"R26","22K","R_0805_2012Metric",248.0000,26.0000,-90.0000,top
"R27","100K","R_0805_2012Metric",252.2500,26.0000,-90.0000,top
"R28","22K","R_0805_2012Metric",254.2500,26.0000,-90.0000,top
"R29","100K","R_0805_2012Metric",258.5000,26.0000,-90.0000,top
"R30","22K","R_0805_2012Metric",256.5000,26.0000,-90.0000,top
"R33","100R","R_0805_2012Metric",74.0000,25.0000,-90.0000,top
"R34","100R","R_0805_2012Metric",71.0000,25.0000,-90.0000,top
"R35","100R","R_0805_2012Metric",79.4000,25.0000,-90.0000,top
"R36","100R","R_0805_2012Metric",77.0000,25.0000,-90.0000,top
"R38","100R","R_0805_2012Metric",68.0000,25.0875,90.0000,top
"R39","100R","R_0805_2012Metric",87.0000,25.0000,90.0000,top
"R40","100R","R_0805_2012Metric",89.5000,25.0000,90.0000,top
"R41","100R","R_0805_2012Metric",27.1800,26.7500,90.0000,top
"R42","100K","R_0805_2012Metric",128.0550,18.0000,-90.0000,top
"R43","100K","R_0805_2012Metric",134.9050,18.0000,-90.0000,top
"R44","100K","R_0805_2012Metric",121.1550,18.0000,-90.0000,top
"R56","100R","R_0805_2012Metric",135.9050,22.6500,90.0000,top
"R57","100R","R_0805_2012Metric",129.1550,22.6500,90.0000,top
"R62","100R","R_0805_2012Metric",122.1550,22.6500,-90.0000,top
"R65","10K","R_0805_2012Metric",27.1800,30.6625,90.0000,top
"R66","10K","R_0805_2012Metric",27.0000,118.0500,0.0000,top
"R67","10K","R_0805_2012Metric",52.1625,118.0500,0.0000,top
"R68","10K","R_0805_2012Metric",77.0875,118.0500,0.0000,top
"R69","10K","R_0805_2012Metric",102.0000,118.1125,0.0000,top
"R70","10K","R_0805_2012Metric",126.9500,117.9875,0.0000,top
"R71","10K","R_0805_2012Metric",152.0000,118.0500,0.0000,top
"R72","10K","R_0805_2012Metric",176.9500,117.9875,0.0000,top
"R73","10K","R_0805_2012Metric",201.5875,118.0500,0.0000,top
"R74","10K","R_0805_2012Metric",227.2500,118.1125,0.0000,top
"R75","10K","R_0805_2012Metric",252.2000,117.9875,0.0000,top
"R76","750R","R_0805_2012Metric",183.2500,57.0000,90.0000,top
"R77","750R","R_0805_2012Metric",176.7500,57.0000,90.0000,top
"R78","750R","R_0805_2012Metric",170.2500,57.0000,90.0000,top
"R79","750R","R_0805_2012Metric",163.7500,57.0000,90.0000,top
"R80","750R","R_0805_2012Metric",157.2500,57.0000,90.0000,top
"R81","750R","R_0805_2012Metric",150.7500,57.0000,90.0000,top
"R82","750R","R_0805_2012Metric",144.2500,57.0000,90.0000,top
"R83","750R","R_0805_2012Metric",137.7500,57.0000,90.0000,top
"R84","750R","R_0805_2012Metric",124.7500,57.0000,90.0000,top
"R85","750R","R_0805_2012Metric",131.2500,57.0000,90.0000,top
"R109","10K","R_0805_2012Metric",118.0000,47.7500,0.0000,bottom
"R110","10K","R_0805_2012Metric",118.0000,45.7500,0.0000,bottom
"R111","2K","R_0805_2012Metric",117.0000,56.0000,0.0000,bottom
"R112","2K","R_0805_2012Metric",125.5000,56.0000,0.0000,bottom
"R113","10K","R_0805_2012Metric",126.2500,45.7500,0.0000,bottom
"R114","10K","R_0805_2012Metric",126.2500,47.7500,0.0000,bottom
"R115","2K","R_0805_2012Metric",178.5000,58.7700,0.0000,bottom
"R116","10K","R_0805_2012Metric",179.5000,50.5200,0.0000,bottom
"R117","10K","R_0805_2012Metric",179.5000,48.5200,0.0000,bottom
"R118","2K","R_0805_2012Metric",170.5000,58.7700,0.0000,bottom
"R119","10K","R_0805_2012Metric",171.5000,48.5000,0.0000,bottom
"R120","10K","R_0805_2012Metric",171.5000,50.5200,0.0000,bottom
